Symbol,Name,Current Price,Predicted Change (%),Target Price,Target Time,Confidence,Forecast Explanation (Hebrew)
AAPL,Apple,199.27,8.2,215.61,7d,0.92,תבנית טכנית חזקה + מגמה שורית.
TSLA,Tesla,324.23,12.5,364.76,5d,0.88,איחוד פריצה טכני + נפחים גבוהים.
MSFT,Microsoft,420.15,6.8,448.75,10d,0.93,מגמת עלייה + ניתוח AI חיובי.
NVDA,NVIDIA,1220.33,10.1,1343.65,6d,0.91,פריצה לאחר תיקון שורי + תמיכה בממוצע נע.
GOOGL,Alphabet,172.22,7.3,184.78,8d,0.89,תמיכה ב-EMA20 + ניתוח פנדומנטלי חזק.
AMZN,Amazon,187.16,9.4,204.79,7d,0.9,נפחי קנייה גבוהים + קונסולידציה לפני פריצה.
META,Meta,506.33,5.6,534.73,9d,0.87,פריצה על קו התנגדות + תבנית דגל שורי.
CRM,Salesforce,247.99,11.2,275.78,6d,0.91,זיהוי תבנית ראש וכתפיים הפוכה.
NFLX,Netflix,671.48,6.3,713.72,7d,0.88,ניתוח AI חיובי עם תמיכה טכנית.
AMD,AMD,153.89,13.0,174.9,5d,0.94,תבנית W + מומנטום חיובי.
